# AV             Temperature    H              H2             C              CO
  0.0000000E+00  0.2874640E+04  0.9998387E+03  0.3504375E-05  0.2205673E-08  0.7874000E-14
  0.1000026E-04  0.2874611E+04  0.9998387E+03  0.3504572E-05  0.2205760E-08  0.7874259E-14
  0.1047156E-04  0.2874610E+04  0.9998387E+03  0.3504581E-05  0.2205764E-08  0.7874271E-14
  0.1096507E-04  0.2874608E+04  0.9998387E+03  0.3504591E-05  0.2205768E-08  0.7874284E-14
  0.1148183E-04  0.2874607E+04  0.9998387E+03  0.3504601E-05  0.2205772E-08  0.7874297E-14
  0.1202295E-04  0.2874605E+04  0.9998387E+03  0.3504612E-05  0.2205776E-08  0.7874311E-14
  0.1258958E-04  0.2874604E+04  0.9998387E+03  0.3504623E-05  0.2205781E-08  0.7874326E-14
  0.1318291E-04  0.2874602E+04  0.9998387E+03  0.3504634E-05  0.2205785E-08  0.7874342E-14
  0.1380420E-04  0.2874600E+04  0.9998387E+03  0.3504647E-05  0.2205790E-08  0.7874358E-14
  0.1445477E-04  0.2874598E+04  0.9998387E+03  0.3504659E-05  0.2205795E-08  0.7874375E-14
  0.1513600E-04  0.2874596E+04  0.9998387E+03  0.3504673E-05  0.2205801E-08  0.7874392E-14
  0.1584934E-04  0.2874594E+04  0.9998387E+03  0.3504687E-05  0.2205806E-08  0.7874411E-14
  0.1659629E-04  0.2874592E+04  0.9998387E+03  0.3504702E-05  0.2205812E-08  0.7874430E-14
  0.1737845E-04  0.2874590E+04  0.9998387E+03  0.3504717E-05  0.2205818E-08  0.7874450E-14
  0.1819749E-04  0.2874587E+04  0.9998387E+03  0.3504733E-05  0.2205824E-08  0.7874472E-14
  0.1905511E-04  0.2874585E+04  0.9998387E+03  0.3504750E-05  0.2205831E-08  0.7874494E-14
  0.1995315E-04  0.2874582E+04  0.9998387E+03  0.3504768E-05  0.2205838E-08  0.7874517E-14
  0.2089351E-04  0.2874580E+04  0.9998387E+03  0.3504786E-05  0.2205845E-08  0.7874541E-14
  0.2187819E-04  0.2874577E+04  0.9998387E+03  0.3504806E-05  0.2205853E-08  0.7874567E-14
  0.2290928E-04  0.2874574E+04  0.9998387E+03  0.3504826E-05  0.2205861E-08  0.7874594E-14
  0.2398896E-04  0.2874571E+04  0.9998387E+03  0.3504847E-05  0.2205869E-08  0.7874622E-14
  0.2511952E-04  0.2874567E+04  0.9998387E+03  0.3504870E-05  0.2205878E-08  0.7874651E-14
  0.2630338E-04  0.2874564E+04  0.9998387E+03  0.3504893E-05  0.2205887E-08  0.7874682E-14
  0.2754300E-04  0.2874560E+04  0.9998387E+03  0.3504917E-05  0.2205896E-08  0.7874714E-14
  0.2884106E-04  0.2874557E+04  0.9998387E+03  0.3504943E-05  0.2205906E-08  0.7874748E-14
  0.3020030E-04  0.2874553E+04  0.9998387E+03  0.3504970E-05  0.2205917E-08  0.7874783E-14
  0.3162361E-04  0.2874549E+04  0.9998387E+03  0.3504998E-05  0.2205927E-08  0.7874820E-14
  0.3311398E-04  0.2874544E+04  0.9998388E+03  0.3505027E-05  0.2205939E-08  0.7874858E-14
  0.3467459E-04  0.2874540E+04  0.9998388E+03  0.3505058E-05  0.2205951E-08  0.7874899E-14
  0.3630874E-04  0.2874535E+04  0.9998388E+03  0.3505090E-05  0.2205963E-08  0.7874941E-14
  0.3801993E-04  0.2874530E+04  0.9998388E+03  0.3505124E-05  0.2205976E-08  0.7874986E-14
  0.3981175E-04  0.2874525E+04  0.9998388E+03  0.3505159E-05  0.2205990E-08  0.7875032E-14
  0.4168802E-04  0.2874520E+04  0.9998388E+03  0.3505196E-05  0.2206004E-08  0.7875081E-14
  0.4365271E-04  0.2874514E+04  0.9998388E+03  0.3505235E-05  0.2206019E-08  0.7875132E-14
  0.4571000E-04  0.2874508E+04  0.9998388E+03  0.3505275E-05  0.2206034E-08  0.7875185E-14
  0.4786424E-04  0.2874502E+04  0.9998388E+03  0.3505318E-05  0.2206050E-08  0.7875241E-14
  0.5012001E-04  0.2874495E+04  0.9998388E+03  0.3505362E-05  0.2206067E-08  0.7875299E-14
  0.5248215E-04  0.2874489E+04  0.9998388E+03  0.3505409E-05  0.2206085E-08  0.7875361E-14
  0.5495548E-04  0.2874482E+04  0.9998388E+03  0.3505458E-05  0.2206104E-08  0.7875425E-14
  0.5754552E-04  0.2874474E+04  0.9998388E+03  0.3505509E-05  0.2206123E-08  0.7875492E-14
  0.6025749E-04  0.2874466E+04  0.9998388E+03  0.3505562E-05  0.2206144E-08  0.7875562E-14
  0.6309740E-04  0.2874458E+04  0.9998388E+03  0.3505618E-05  0.2206165E-08  0.7875636E-14
  0.6607109E-04  0.2874450E+04  0.9998388E+03  0.3505677E-05  0.2206187E-08  0.7875713E-14
  0.6918494E-04  0.2874441E+04  0.9998388E+03  0.3505738E-05  0.2206211E-08  0.7875794E-14
  0.7244551E-04  0.2874431E+04  0.9998388E+03  0.3505802E-05  0.2206235E-08  0.7875878E-14
  0.7585975E-04  0.2874421E+04  0.9998388E+03  0.3505870E-05  0.2206261E-08  0.7875967E-14
  0.7943491E-04  0.2874411E+04  0.9998388E+03  0.3505940E-05  0.2206287E-08  0.7876060E-14
  0.8317855E-04  0.2874400E+04  0.9998388E+03  0.3506014E-05  0.2206315E-08  0.7876157E-14
  0.8709862E-04  0.2874389E+04  0.9998388E+03  0.3506091E-05  0.2206345E-08  0.7876258E-14
  0.9120345E-04  0.2874377E+04  0.9998388E+03  0.3506172E-05  0.2206375E-08  0.7876365E-14
  0.9550176E-04  0.2874365E+04  0.9998388E+03  0.3506257E-05  0.2206407E-08  0.7876476E-14
  0.1000026E-03  0.2874352E+04  0.9998388E+03  0.3506345E-05  0.2206441E-08  0.7876593E-14
  0.1047156E-03  0.2874338E+04  0.9998388E+03  0.3506438E-05  0.2206476E-08  0.7876715E-14
  0.1096507E-03  0.2874324E+04  0.9998388E+03  0.3506536E-05  0.2206513E-08  0.7876843E-14
  0.1148183E-03  0.2874309E+04  0.9998388E+03  0.3506638E-05  0.2206551E-08  0.7876977E-14
  0.1202296E-03  0.2874294E+04  0.9998388E+03  0.3506744E-05  0.2206591E-08  0.7877118E-14
  0.1258958E-03  0.2874277E+04  0.9998388E+03  0.3506856E-05  0.2206633E-08  0.7877265E-14
  0.1318291E-03  0.2874260E+04  0.9998388E+03  0.3506973E-05  0.2206678E-08  0.7877419E-14
  0.1380420E-03  0.2874242E+04  0.9998388E+03  0.3507095E-05  0.2206724E-08  0.7877580E-14
  0.1445477E-03  0.2874223E+04  0.9998388E+03  0.3507224E-05  0.2206772E-08  0.7877749E-14
  0.1513600E-03  0.2874204E+04  0.9998388E+03  0.3507358E-05  0.2206822E-08  0.7877925E-14
  0.1584935E-03  0.2874183E+04  0.9998388E+03  0.3507499E-05  0.2206875E-08  0.7878110E-14
  0.1659630E-03  0.2874162E+04  0.9998388E+03  0.3507646E-05  0.2206931E-08  0.7878304E-14
  0.1737846E-03  0.2874139E+04  0.9998388E+03  0.3507800E-05  0.2206989E-08  0.7878507E-14
  0.1819748E-03  0.2874116E+04  0.9998388E+03  0.3507962E-05  0.2207049E-08  0.7878720E-14
  0.1905510E-03  0.2874091E+04  0.9998388E+03  0.3508131E-05  0.2207113E-08  0.7878942E-14
  0.1995315E-03  0.2874065E+04  0.9998388E+03  0.3508308E-05  0.2207179E-08  0.7879175E-14
  0.2089351E-03  0.2874038E+04  0.9998388E+03  0.3508494E-05  0.2207248E-08  0.7879419E-14
  0.2187819E-03  0.2874010E+04  0.9998388E+03  0.3508688E-05  0.2207321E-08  0.7879675E-14
  0.2290928E-03  0.2873980E+04  0.9998388E+03  0.3508891E-05  0.2207397E-08  0.7879942E-14
  0.2398896E-03  0.2873949E+04  0.9998388E+03  0.3509104E-05  0.2207477E-08  0.7880222E-14
  0.2511952E-03  0.2873916E+04  0.9998388E+03  0.3509327E-05  0.2207561E-08  0.7880516E-14
  0.2630338E-03  0.2873882E+04  0.9998388E+03  0.3509561E-05  0.2207648E-08  0.7880823E-14
  0.2754300E-03  0.2873847E+04  0.9998388E+03  0.3509805E-05  0.2207739E-08  0.7881145E-14
  0.2884106E-03  0.2873809E+04  0.9998388E+03  0.3510061E-05  0.2207835E-08  0.7881482E-14
  0.3020030E-03  0.2873770E+04  0.9998388E+03  0.3510330E-05  0.2207935E-08  0.7881835E-14
  0.3162361E-03  0.2873729E+04  0.9998388E+03  0.3510611E-05  0.2208040E-08  0.7882204E-14
  0.3311398E-03  0.2873686E+04  0.9998388E+03  0.3510905E-05  0.2208150E-08  0.7882591E-14
  0.3467457E-03  0.2873641E+04  0.9998388E+03  0.3511213E-05  0.2208265E-08  0.7882996E-14
  0.3630874E-03  0.2873594E+04  0.9998388E+03  0.3511535E-05  0.2208385E-08  0.7883420E-14
  0.3801993E-03  0.2873545E+04  0.9998388E+03  0.3511873E-05  0.2208511E-08  0.7883865E-14
  0.3981175E-03  0.2873493E+04  0.9998388E+03  0.3512227E-05  0.2208643E-08  0.7884330E-14
  0.4168802E-03  0.2873439E+04  0.9998388E+03  0.3512597E-05  0.2208781E-08  0.7884817E-14
  0.4365271E-03  0.2873383E+04  0.9998388E+03  0.3512985E-05  0.2208925E-08  0.7885327E-14
  0.4571000E-03  0.2873323E+04  0.9998388E+03  0.3513392E-05  0.2209076E-08  0.7885861E-14
  0.4786424E-03  0.2873261E+04  0.9998388E+03  0.3513817E-05  0.2209235E-08  0.7886421E-14
  0.5012003E-03  0.2873197E+04  0.9998388E+03  0.3514263E-05  0.2209401E-08  0.7887007E-14
  0.5248211E-03  0.2873129E+04  0.9998388E+03  0.3514729E-05  0.2209574E-08  0.7887620E-14
  0.5495552E-03  0.2873057E+04  0.9998388E+03  0.3515218E-05  0.2209756E-08  0.7888263E-14
  0.5754549E-03  0.2872983E+04  0.9998388E+03  0.3515730E-05  0.2209946E-08  0.7888936E-14
  0.6025753E-03  0.2872905E+04  0.9998388E+03  0.3516266E-05  0.2210145E-08  0.7889641E-14
  0.6309736E-03  0.2872823E+04  0.9998388E+03  0.3516827E-05  0.2210354E-08  0.7890379E-14
  0.6607109E-03  0.2872737E+04  0.9998388E+03  0.3517415E-05  0.2210572E-08  0.7891151E-14
  0.6918494E-03  0.2872648E+04  0.9998388E+03  0.3518030E-05  0.2210801E-08  0.7891961E-14
  0.7244551E-03  0.2872554E+04  0.9998388E+03  0.3518675E-05  0.2211040E-08  0.7892808E-14
  0.7585975E-03  0.2872456E+04  0.9998388E+03  0.3519351E-05  0.2211291E-08  0.7893696E-14
  0.7943491E-03  0.2872353E+04  0.9998388E+03  0.3520058E-05  0.2211553E-08  0.7894625E-14
  0.8317857E-03  0.2872245E+04  0.9998388E+03  0.3520798E-05  0.2211828E-08  0.7895599E-14
  0.8709862E-03  0.2872132E+04  0.9998388E+03  0.3521574E-05  0.2212115E-08  0.7896618E-14
  0.9120346E-03  0.2872014E+04  0.9998388E+03  0.3522387E-05  0.2212416E-08  0.7897686E-14
  0.9550174E-03  0.2871890E+04  0.9998388E+03  0.3523238E-05  0.2212732E-08  0.7898804E-14
  0.1000026E-02  0.2871761E+04  0.9998388E+03  0.3524129E-05  0.2213062E-08  0.7899975E-14
  0.1047156E-02  0.2871625E+04  0.9998388E+03  0.3525062E-05  0.2213408E-08  0.7901202E-14
  0.1096507E-02  0.2871483E+04  0.9998388E+03  0.3526040E-05  0.2213770E-08  0.7902486E-14
  0.1148183E-02  0.2871334E+04  0.9998388E+03  0.3527064E-05  0.2214149E-08  0.7903831E-14
  0.1202295E-02  0.2871179E+04  0.9998388E+03  0.3528137E-05  0.2214546E-08  0.7905240E-14
  0.1258958E-02  0.2871016E+04  0.9998388E+03  0.3529260E-05  0.2214961E-08  0.7906716E-14
  0.1318291E-02  0.2870845E+04  0.9998388E+03  0.3530437E-05  0.2215397E-08  0.7908261E-14
  0.1380420E-02  0.2870666E+04  0.9998389E+03  0.3531670E-05  0.2215852E-08  0.7909880E-14
  0.1445478E-02  0.2870479E+04  0.9998389E+03  0.3532961E-05  0.2216330E-08  0.7911575E-14
  0.1513601E-02  0.2870283E+04  0.9998389E+03  0.3534314E-05  0.2216829E-08  0.7913351E-14
  0.1584935E-02  0.2870078E+04  0.9998389E+03  0.3535730E-05  0.2217353E-08  0.7915210E-14
  0.1659630E-02  0.2869863E+04  0.9998389E+03  0.3537214E-05  0.2217901E-08  0.7917158E-14
  0.1737846E-02  0.2869638E+04  0.9998389E+03  0.3538769E-05  0.2218475E-08  0.7919198E-14
  0.1819748E-02  0.2869403E+04  0.9998389E+03  0.3540397E-05  0.2219076E-08  0.7921335E-14
  0.1905510E-02  0.2869156E+04  0.9998389E+03  0.3542103E-05  0.2219706E-08  0.7923574E-14
  0.1995315E-02  0.2868898E+04  0.9998389E+03  0.3543891E-05  0.2220365E-08  0.7925918E-14
  0.2089350E-02  0.2868628E+04  0.9998389E+03  0.3545763E-05  0.2221056E-08  0.7928374E-14
  0.2187819E-02  0.2868345E+04  0.9998389E+03  0.3547725E-05  0.2221779E-08  0.7930946E-14
  0.2290926E-02  0.2868049E+04  0.9998389E+03  0.3549780E-05  0.2222537E-08  0.7933641E-14
  0.2398896E-02  0.2867738E+04  0.9998389E+03  0.3551933E-05  0.2223330E-08  0.7936464E-14
  0.2511952E-02  0.2867413E+04  0.9998389E+03  0.3554188E-05  0.2224161E-08  0.7939420E-14
  0.2630338E-02  0.2867073E+04  0.9998389E+03  0.3556552E-05  0.2225031E-08  0.7942518E-14
  0.2754300E-02  0.2866717E+04  0.9998390E+03  0.3559028E-05  0.2225943E-08  0.7945763E-14
  0.2884106E-02  0.2866344E+04  0.9998390E+03  0.3561623E-05  0.2226898E-08  0.7949162E-14
  0.3020030E-02  0.2865954E+04  0.9998390E+03  0.3564342E-05  0.2227898E-08  0.7952723E-14
  0.3162361E-02  0.2865545E+04  0.9998390E+03  0.3567191E-05  0.2228946E-08  0.7956453E-14
  0.3311398E-02  0.2865117E+04  0.9998390E+03  0.3570177E-05  0.2230044E-08  0.7960362E-14
  0.3467459E-02  0.2864669E+04  0.9998390E+03  0.3573306E-05  0.2231193E-08  0.7964457E-14
