# AV             Temperature    H              H2             C              CO
  0.1318291E-03  0.1563874E+03  0.9996963E+03  0.1356084E+00  0.6128742E-04  0.2923675E-07
  0.1380420E-03  0.1563865E+03  0.9996951E+03  0.1362219E+00  0.6128874E-04  0.2923963E-07
  0.1445477E-03  0.1563856E+03  0.9996938E+03  0.1368733E+00  0.6129007E-04  0.2924268E-07
  0.1513600E-03  0.1563846E+03  0.9996924E+03  0.1375655E+00  0.6129140E-04  0.2924593E-07
  0.1584935E-03  0.1563836E+03  0.9996910E+03  0.1383016E+00  0.6129273E-04  0.2924937E-07
  0.1659630E-03  0.1563825E+03  0.9996894E+03  0.1390852E+00  0.6129405E-04  0.2925304E-07
  0.1737846E-03  0.1563814E+03  0.9996877E+03  0.1399201E+00  0.6129537E-04  0.2925694E-07
  0.1819748E-03  0.1563802E+03  0.9996860E+03  0.1408106E+00  0.6129667E-04  0.2926110E-07
  0.1905510E-03  0.1563790E+03  0.9996843E+03  0.1416372E+00  0.6129826E-04  0.2926511E-07
  0.1995315E-03  0.1563777E+03  0.9996831E+03  0.1422549E+00  0.6130048E-04  0.2926845E-07
  0.2089351E-03  0.1563763E+03  0.9996818E+03  0.1429103E+00  0.6130274E-04  0.2927200E-07
  0.2187819E-03  0.1563749E+03  0.9996804E+03  0.1436064E+00  0.6130504E-04  0.2927575E-07
  0.2290928E-03  0.1563735E+03  0.9996789E+03  0.1443463E+00  0.6130738E-04  0.2927973E-07
  0.2398896E-03  0.1563719E+03  0.9996773E+03  0.1451333E+00  0.6130976E-04  0.2928396E-07
  0.2511952E-03  0.1563703E+03  0.9996757E+03  0.1459713E+00  0.6131217E-04  0.2928845E-07
  0.2630338E-03  0.1563686E+03  0.9996739E+03  0.1468645E+00  0.6131461E-04  0.2929322E-07
  0.2754300E-03  0.1563668E+03  0.9996720E+03  0.1478174E+00  0.6131708E-04  0.2929830E-07
  0.2884106E-03  0.1563650E+03  0.9996700E+03  0.1488353E+00  0.6131956E-04  0.2930372E-07
  0.3020030E-03  0.1563630E+03  0.9996678E+03  0.1499239E+00  0.6132207E-04  0.2930949E-07
  0.3162361E-03  0.1563610E+03  0.9996655E+03  0.1510897E+00  0.6132458E-04  0.2931566E-07
  0.3311398E-03  0.1563589E+03  0.9996630E+03  0.1523398E+00  0.6132709E-04  0.2932227E-07
  0.3467457E-03  0.1563566E+03  0.9996603E+03  0.1536826E+00  0.6132959E-04  0.2932934E-07
  0.3630874E-03  0.1563543E+03  0.9996574E+03  0.1551272E+00  0.6133207E-04  0.2933694E-07
  0.3801993E-03  0.1563518E+03  0.9996543E+03  0.1566842E+00  0.6133450E-04  0.2934511E-07
  0.3981175E-03  0.1563493E+03  0.9996509E+03  0.1583656E+00  0.6133689E-04  0.2935392E-07
  0.4168802E-03  0.1563466E+03  0.9996473E+03  0.1601854E+00  0.6133919E-04  0.2936343E-07
  0.4365271E-03  0.1563438E+03  0.9996434E+03  0.1621594E+00  0.6134140E-04  0.2937374E-07
  0.4571000E-03  0.1563408E+03  0.9996391E+03  0.1643065E+00  0.6134346E-04  0.2938494E-07
  0.4786424E-03  0.1563378E+03  0.9996344E+03  0.1666482E+00  0.6134536E-04  0.2939715E-07
  0.5012003E-03  0.1563345E+03  0.9996293E+03  0.1692105E+00  0.6134704E-04  0.2941051E-07
  0.5248211E-03  0.1563311E+03  0.9996237E+03  0.1720238E+00  0.6134844E-04  0.2942519E-07
  0.5495552E-03  0.1563276E+03  0.9996198E+03  0.1739948E+00  0.6135222E-04  0.2943667E-07
  0.5754549E-03  0.1563239E+03  0.9996157E+03  0.1760160E+00  0.6135621E-04  0.2944861E-07
  0.6025753E-03  0.1563200E+03  0.9996114E+03  0.1782094E+00  0.6136015E-04  0.2946152E-07
  0.6309736E-03  0.1563160E+03  0.9996066E+03  0.1805958E+00  0.6136400E-04  0.2947555E-07
  0.6607109E-03  0.1563117E+03  0.9996014E+03  0.1831997E+00  0.6136772E-04  0.2949082E-07
  0.6918494E-03  0.1563073E+03  0.9995957E+03  0.1860500E+00  0.6137127E-04  0.2950751E-07
  0.7244551E-03  0.1563026E+03  0.9995895E+03  0.1891812E+00  0.6137457E-04  0.2952583E-07
  0.7585975E-03  0.1562977E+03  0.9995826E+03  0.1926345E+00  0.6137757E-04  0.2954603E-07
  0.7943491E-03  0.1562926E+03  0.9995750E+03  0.1964601E+00  0.6138016E-04  0.2956843E-07
  0.8317857E-03  0.1562872E+03  0.9995665E+03  0.2007196E+00  0.6138222E-04  0.2959341E-07
  0.8709862E-03  0.1562816E+03  0.9995570E+03  0.2054892E+00  0.6138362E-04  0.2962147E-07
  0.9120346E-03  0.1562758E+03  0.9995462E+03  0.2108653E+00  0.6138414E-04  0.2965325E-07
  0.9550174E-03  0.1562696E+03  0.9995342E+03  0.2169001E+00  0.6138372E-04  0.2968922E-07
  0.1000026E-02  0.1562632E+03  0.9995256E+03  0.2211958E+00  0.6138808E-04  0.2971723E-07
  0.1047156E-02  0.1562564E+03  0.9995161E+03  0.2259775E+00  0.6139192E-04  0.2974847E-07
