# J_up  J_(erg_cm-2_s-1_ster-1)
01     1.12461E-07
02     5.01190E-07
03     7.36188E-07
04     4.10557E-07
05     3.39549E-08
06     9.12255E-10
07     5.27708E-11
08     2.00625E-11
09    1.57796E-11
10    1.55010E-11
11    1.61468E-11
12    1.70048E-11
13    1.78592E-11
14    1.86325E-11
15    1.92925E-11
16    1.98229E-11
17    2.02116E-11
18    2.04502E-11
19    2.05307E-11
20    2.04453E-11
21    2.01869E-11
22    1.97485E-11
23    1.95299E-11
24    1.91711E-11
25    1.90226E-11
26    1.87645E-11
27    1.83940E-11
28    1.79081E-11
29    1.73037E-11
30    1.65783E-11
