     NH               Temp.Gaz         Ab..h            Ab..h2           Ab..c            Ab..co        
   5.61144032E+16  3.72867565E+003  3.15913367E+005  2.12659436E+000  6.13991989E-004  1.13951043E-006
   7.24433824E+16  3.72839433E+003  3.15913384E+005  2.12657007E+000  6.14030254E-004  1.13941597E-006
   9.35240036E+16  3.72896241E+003  3.15913354E+005  2.12717227E+000  6.14225704E-004  1.14014478E-006
   1.30933601E+17  3.72925155E+003  3.15913340E+005  2.12775179E+000  6.14459631E-004  1.14078088E-006
   1.87047995E+17  3.72967606E+003  3.15913321E+005  2.12861946E+000  6.14809551E-004  1.14173073E-006
   2.64525800E+17  3.73026086E+003  3.15913294E+005  2.12982403E+000  6.15293440E-004  1.14304468E-006
   3.74095952E+17  3.73108966E+003  3.15913256E+005  2.13154334E+000  6.15980409E-004  1.14491056E-006
   5.61143873E+17  3.73250318E+003  3.15913190E+005  2.13449925E+000  6.17156618E-004  1.14810632E-006
   7.24433564E+17  3.73374407E+003  3.15913133E+005  2.13709614E+000  6.18186704E-004  1.15090914E-006
   9.35239609E+17  3.73533841E+003  3.15913058E+005  2.14045562E+000  6.19518278E-004  1.15453247E-006
   1.30933520E+18  3.73815727E+003  3.15912927E+005  2.14643144E+000  6.21885439E-004  1.16097834E-006
   1.87047833E+18  3.74237673E+003  3.15912729E+005  2.15541972E+000  6.25444761E-004  1.17068901E-006
   2.64525478E+18  3.74818002E+003  3.15912456E+005  2.16785518E+000  6.30371644E-004  1.18416689E-006
   3.74095311E+18  3.75632398E+003  3.15912071E+005  2.18546332E+000  6.37357925E-004  1.20334778E-006
   5.61142438E+18  3.77002934E+003  3.15911421E+005  2.21552925E+000  6.49322810E-004  1.23638216E-006
   7.24431179E+18  3.78186273E+003  3.15910857E+005  2.24180721E+000  6.59813116E-004  1.26556295E-006
   9.35235651E+18  3.79681919E+003  3.15910138E+005  2.27569244E+000  6.73397350E-004  1.30359911E-006
   1.30932750E+19  3.82277904E+003  3.15908877E+005  2.33588426E+000  6.97659046E-004  1.37235867E-006
   1.87046282E+19  3.85963558E+003  3.15907065E+005  2.42576742E+000  7.34263165E-004  1.47761869E-006
   2.64522436E+19  3.90752997E+003  3.15904658E+005  2.54976071E+000  7.85376163E-004  1.62804177E-006
   3.74089392E+19  3.96980776E+003  3.15901434E+005  2.72511131E+000  8.58809537E-004  1.85077634E-006
   5.61129699E+19  4.06356878E+003  3.15896320E+005  3.02629310E+000  9.87814317E-004  2.25996969E-006
   7.24410683E+19  4.13504224E+003  3.15892214E+005  3.29325792E+000  1.10490911E-003  2.64911948E-006
