     NH               Temp.Gaz         Ab..h            Ab..h2           Ab..c            Ab..co        
   5.61274389E+16  1.27976912E+002  9.99971606E+002  3.05342846E-006  1.32689055E-008  1.09784736E-015
   7.24602120E+16  1.27978939E+002  9.99971605E+002  3.05370503E-006  1.32700301E-008  1.09799179E-015
   9.35457315E+16  1.27981559E+002  9.99971605E+002  3.05406202E-006  1.32714820E-008  1.09817824E-015
   1.30964024E+17  1.27986212E+002  9.99971604E+002  3.05469545E-006  1.32740584E-008  1.09850913E-015
   1.87091463E+17  1.27993189E+002  9.99971603E+002  3.05564553E-006  1.32779221E-008  1.09900547E-015
   2.64587284E+17  1.28002812E+002  9.99971602E+002  3.05695707E-006  1.32832554E-008  1.09969078E-015
   3.74182925E+17  1.28016405E+002  9.99971600E+002  3.05881140E-006  1.32907953E-008  1.10065997E-015
   5.61274386E+17  1.28039598E+002  9.99971597E+002  3.06197573E-006  1.33036591E-008  1.10231451E-015
   7.24602116E+17  1.28059756E+002  9.99971594E+002  3.06473724E-006  1.33148799E-008  1.10375892E-015
   9.35457307E+17  1.28085772E+002  9.99971590E+002  3.06830022E-006  1.33293572E-008  1.10562372E-015
   1.30964023E+18  1.28131848E+002  9.99971583E+002  3.07461787E-006  1.33550217E-008  1.10893317E-015
   1.87091460E+18  1.28200622E+002  9.99971573E+002  3.08408330E-006  1.33934474E-008  1.11389772E-015
   2.64587278E+18  1.28294961E+002  9.99971559E+002  3.09712988E-006  1.34463668E-008  1.12075316E-015
   3.74182913E+18  1.28427183E+002  9.99971540E+002  3.11553607E-006  1.35209406E-008  1.13044999E-015
   5.61274361E+18  1.28649829E+002  9.99971507E+002  3.14683695E-006  1.36475422E-008  1.14700904E-015
   7.24602074E+18  1.28840684E+002  9.99971479E+002  3.17404670E-006  1.37573122E-008  1.16147091E-015
   9.35457238E+18  1.29083187E+002  9.99971443E+002  3.20900555E-006  1.38980707E-008  1.18015185E-015
   1.30964009E+19  1.29502726E+002  9.99971381E+002  3.27059545E-006  1.41452424E-008  1.21333876E-015
   1.87091433E+19  1.30106903E+002  9.99971292E+002  3.36196499E-006  1.45099425E-008  1.26323128E-015
