# J_up  J_(erg_cm-2_s-1_ster-1)
01     5.72334E-07
02     5.48822E-06
03     1.89634E-05
04     4.29930E-05
05     7.63779E-05
06     1.14420E-04
07     1.48846E-04
08     1.65591E-04
09    1.38319E-04
10    7.52466E-05
11    3.00630E-05
12    1.19291E-05
13    6.73907E-06
14    5.51439E-06
15    5.08776E-06
16    4.71421E-06
17    4.22912E-06
18    3.65452E-06
19    3.04902E-06
20    2.46422E-06
21    1.93625E-06
22    1.48596E-06
23    1.11992E-06
24    8.31183E-07
25    6.11006E-07
26    4.46425E-07
27    3.25660E-07
28    2.38106E-07
29    1.75154E-07
30    1.29933E-07
