     120   number of z grid-points
      38   number of CO lines
        N<H>       Tdust        Tgas           H          H2          e-           O          C+           C          CO          CH         CH4          OH         H2O
 0.00000E+00 2.00000E+01 7.37512E+03 3.06207E+05 8.61200E+00 1.08463E+04 9.23708E+01 5.56324E+00 2.58620E+01 6.70247E-05 2.80332E-04 1.29494E-20 3.01536E-03 9.92496E-09
 1.89256E+17 2.00000E+01 7.37419E+03 3.06207E+05 8.61831E+00 1.08458E+04 9.23709E+01 5.56306E+00 2.58622E+01 6.70675E-05 2.80427E-04 1.29788E-20 3.01777E-03 9.94057E-09
 2.25257E+17 2.00000E+01 7.37512E+03 3.06207E+05 8.61199E+00 1.08462E+04 9.23708E+01 5.56320E+00 2.58620E+01 6.70255E-05 2.80333E-04 1.29496E-20 3.01537E-03 9.92506E-09
 2.68108E+17 2.00000E+01 7.37419E+03 3.06207E+05 8.61831E+00 1.08458E+04 9.23709E+01 5.56304E+00 2.58622E+01 6.70678E-05 2.80427E-04 1.29789E-20 3.01777E-03 9.94061E-09
 3.19109E+17 2.00000E+01 7.37512E+03 3.06207E+05 8.61199E+00 1.08462E+04 9.23708E+01 5.56318E+00 2.58620E+01 6.70259E-05 2.80334E-04 1.29497E-20 3.01538E-03 9.92511E-09
 3.79813E+17 2.00000E+01 7.37419E+03 3.06207E+05 8.61831E+00 1.08458E+04 9.23709E+01 5.56303E+00 2.58622E+01 6.70683E-05 2.80428E-04 1.29790E-20 3.01778E-03 9.94066E-09
 4.52064E+17 2.00000E+01 7.37512E+03 3.06207E+05 8.61199E+00 1.08461E+04 9.23708E+01 5.56316E+00 2.58621E+01 6.70264E-05 2.80334E-04 1.29498E-20 3.01539E-03 9.92517E-09
 5.38059E+17 2.00000E+01 7.37419E+03 3.06207E+05 8.61831E+00 1.08457E+04 9.23709E+01 5.56300E+00 2.58622E+01 6.70689E-05 2.80428E-04 1.29791E-20 3.01779E-03 9.94073E-09
 6.40413E+17 2.00000E+01 7.37512E+03 3.06207E+05 8.61199E+00 1.08461E+04 9.23708E+01 5.56313E+00 2.58621E+01 6.70271E-05 2.80335E-04 1.29500E-20 3.01540E-03 9.92525E-09
 7.62238E+17 2.00000E+01 7.37419E+03 3.06207E+05 8.61831E+00 1.08457E+04 9.23709E+01 5.56296E+00 2.58623E+01 6.70697E-05 2.80429E-04 1.29793E-20 3.01780E-03 9.94083E-09
 9.07237E+17 2.00000E+01 7.37512E+03 3.06207E+05 8.61199E+00 1.08460E+04 9.23709E+01 5.56308E+00 2.58621E+01 6.70281E-05 2.80336E-04 1.29502E-20 3.01542E-03 9.92537E-09
 1.07982E+18 2.00000E+01 7.37419E+03 3.06207E+05 8.61830E+00 1.08456E+04 9.23709E+01 5.56291E+00 2.58623E+01 6.70709E-05 2.80430E-04 1.29796E-20 3.01782E-03 9.94098E-09
 1.28523E+18 2.00000E+01 7.37512E+03 3.06207E+05 8.61198E+00 1.08459E+04 9.23709E+01 5.56302E+00 2.58622E+01 6.70296E-05 2.80337E-04 1.29505E-20 3.01544E-03 9.92554E-09
 1.52972E+18 2.00000E+01 7.37419E+03 3.06207E+05 8.61830E+00 1.08454E+04 9.23710E+01 5.56283E+00 2.58624E+01 6.70726E-05 2.80432E-04 1.29800E-20 3.01785E-03 9.94118E-09
 1.82071E+18 2.00000E+01 7.37512E+03 3.06207E+05 8.61198E+00 1.08457E+04 9.23709E+01 5.56293E+00 2.58623E+01 6.70316E-05 2.80339E-04 1.29510E-20 3.01547E-03 9.92578E-09
 2.16707E+18 2.00000E+01 7.37419E+03 3.06208E+05 8.61829E+00 1.08452E+04 9.23710E+01 5.56273E+00 2.58625E+01 6.70751E-05 2.80434E-04 1.29805E-20 3.01789E-03 9.94146E-09
 2.57930E+18 2.00000E+01 7.37512E+03 3.06207E+05 8.61196E+00 1.08455E+04 9.23710E+01 5.56281E+00 2.58624E+01 6.70345E-05 2.80342E-04 1.29516E-20 3.01552E-03 9.92611E-09
 3.06996E+18 2.00000E+01 7.37419E+03 3.06208E+05 8.61827E+00 1.08450E+04 9.23711E+01 5.56258E+00 2.58627E+01 6.70785E-05 2.80437E-04 1.29812E-20 3.01795E-03 9.94186E-09
 3.65395E+18 2.00000E+01 7.37512E+03 3.06208E+05 8.61195E+00 1.08452E+04 9.23710E+01 5.56263E+00 2.58626E+01 6.70386E-05 2.80345E-04 1.29525E-20 3.01559E-03 9.92659E-09
 4.34904E+18 2.00000E+01 7.37419E+03 3.06208E+05 8.61825E+00 1.08446E+04 9.23711E+01 5.56236E+00 2.58629E+01 6.70833E-05 2.80442E-04 1.29823E-20 3.01803E-03 9.94243E-09
 5.17635E+18 2.00000E+01 7.37512E+03 3.06208E+05 8.61193E+00 1.08447E+04 9.23711E+01 5.56237E+00 2.58629E+01 6.70443E-05 2.80351E-04 1.29537E-20 3.01569E-03 9.92726E-09
 6.16104E+18 2.00000E+01 7.37419E+03 3.06209E+05 8.61823E+00 1.08440E+04 9.23713E+01 5.56206E+00 2.58632E+01 6.70902E-05 2.80448E-04 1.29838E-20 3.01814E-03 9.94323E-09
 7.33304E+18 2.00000E+01 7.37512E+03 3.06209E+05 8.61190E+00 1.08440E+04 9.23713E+01 5.56201E+00 2.58633E+01 6.70525E-05 2.80359E-04 1.29555E-20 3.01582E-03 9.92822E-09
 8.72799E+18 2.00000E+01 7.37419E+03 3.06209E+05 8.61819E+00 1.08433E+04 9.23714E+01 5.56163E+00 2.58637E+01 6.70999E-05 2.80457E-04 1.29859E-20 3.01830E-03 9.94437E-09
 1.03883E+19 2.00000E+01 7.37327E+03 3.06210E+05 8.62449E+00 1.08424E+04 9.23716E+01 5.56121E+00 2.58641E+01 6.71484E-05 2.80557E-04 1.30166E-20 3.02081E-03 9.96066E-09
 1.23644E+19 2.00000E+01 7.37419E+03 3.06210E+05 8.61814E+00 1.08422E+04 9.23717E+01 5.56103E+00 2.58643E+01 6.71137E-05 2.80470E-04 1.29889E-20 3.01853E-03 9.94598E-09
 1.47165E+19 2.00000E+01 7.37327E+03 3.06211E+05 8.62442E+00 1.08411E+04 9.23719E+01 5.56049E+00 2.58649E+01 6.71649E-05 2.80573E-04 1.30201E-20 3.02108E-03 9.96258E-09
 1.75160E+19 2.00000E+01 7.37419E+03 3.06212E+05 8.61806E+00 1.08406E+04 9.23720E+01 5.56017E+00 2.58653E+01 6.71333E-05 2.80489E-04 1.29931E-20 3.01885E-03 9.94826E-09
