#  J   Flux (erg s**-1 cm**-2)
   1   1.7737e-08
   2   7.9545e-08
   3   5.3351e-08
   4   1.3465e-08
   5   2.2544e-09
   6   3.1611e-10
   7   4.3498e-11
   8   7.3136e-12
   9   1.3980e-12
  10   2.7910e-13
  11   5.3087e-14
  12   9.6573e-15
  13   1.7744e-15
  14   3.3062e-16
  15   4.1218e-17
