#  J   Flux (erg s**-1 cm**-2)
   1   1.2573e-07
   2   1.6895e-06
   3   5.6624e-06
   4   1.0455e-05
   5   1.2390e-05
   6   9.6070e-06
   7   5.0825e-06
   8   2.0100e-06
   9   6.5157e-07
  10   1.8605e-07
  11   4.9757e-08
  12   1.4062e-08
  13   4.7275e-09
  14   1.9666e-09
  15   9.6761e-10
  16   5.3746e-10
  17   3.1334e-10
  18   1.8755e-10
  19   1.1398e-10
  20   6.9241e-11
  21   4.1877e-11
  22   2.5183e-11
  23   1.5029e-11
  24   8.8907e-12
  25   5.1943e-12
  26   2.9983e-12
  27   1.7115e-12
  28   9.6384e-13
  29   5.3753e-13
  30   2.9606e-13
  31   1.6085e-13
  32   8.6268e-14
  33   4.5735e-14
  34   2.3889e-14
  35   1.2321e-14
  36   6.2731e-15
  37   3.1378e-15
  38   1.5419e-15
