#  J   Flux (erg s**-1 cm**-2)
   1   7.4393e-08
   2   1.0116e-06
   3   3.1202e-06
   4   4.9009e-06
   5   4.4573e-06
   6   2.3606e-06
   7   7.5838e-07
   8   1.5984e-07
   9   2.3794e-08
  10   2.7250e-09
  11   3.1290e-10
  12   7.2508e-11
  13   3.8051e-11
  14   2.6389e-11
  15   1.9886e-11
  16   1.5532e-11
  17   1.2340e-11
  18   9.8835e-12
  19   7.9545e-12
  20   6.4277e-12
  21   5.2113e-12
  22   4.2474e-12
  23   3.4859e-12
  24   2.8790e-12
  25   2.3901e-12
  26   1.9924e-12
  27   1.6657e-12
  28   1.3936e-12
  29   1.1643e-12
  30   9.6887e-13
  31   8.0173e-13
  32   6.5848e-13
  33   5.3608e-13
  34   4.3203e-13
  35   3.4444e-13
  36   2.7137e-13
  37   2.1105e-13
  38   1.6211e-13
  39   1.2233e-13
  40   9.1420e-14
  41   6.6539e-14
  42   4.8607e-14
  43   3.5123e-14
  44   2.5114e-14
  45   1.7781e-14
  46   1.2453e-14
  47   8.6394e-15
  48   5.9357e-15
  49   4.0420e-15
  50   2.7269e-15
  51   1.8240e-15
  52   1.2095e-15
  53   7.9545e-16
  54   5.1918e-16
